employer,jan,feb,mar,apr,may,total,months_active,avg_per_month,size_category
Alltec Fibre Limited,1,0,0,2,0,3,2,1.5,2-5 permits
Aloco Fitted Furniture Ltd,1,0,0,0,0,1,1,1.0,1 permit
Alpha Facilities Maintenance Limited,0,1,0,0,0,1,1,1.0,1 permit
Alpha Mechanical Services Limited,0,0,1,0,0,1,1,1.0,1 permit
Alpine Healthcare Limited,0,0,5,2,0,7,2,3.5,6-20 permits
Alps Electric (Ireland) Ltd,0,1,0,0,0,1,1,1.0,1 permit
ALS Life Sciences Ltd,1,2,2,1,0,6,4,1.5,6-20 permits
Alter Domus Fund Services (Ireland) Limited,1,0,0,0,0,1,1,1.0,1 permit
Altrad Services (Ireland) Limited,0,0,0,0,6,6,1,6.0,6-20 permits
Altura Technical Services Limited,0,0,6,0,0,6,1,6.0,6-20 permits
Am Cuisine Ltd,0,0,0,1,0,1,1,1.0,1 permit
Aman Print Pack Limited,0,0,0,1,0,1,1,1.0,1 permit
AmanSoftech Ltd,0,0,1,0,0,1,1,1.0,1 permit
Amarition Limited,0,1,0,0,0,1,1,1.0,1 permit
Amax Information Technologies Limited,1,0,2,0,0,3,2,1.5,2-5 permits
Amazon Data Services Ireland Limited,14,5,7,4,11,41,5,8.2,21-100 permits
Amazon Development Centre Ireland Limited,8,7,8,6,7,36,5,7.2,21-100 permits
Amazon Ireland Support Services Limited,4,19,5,2,12,42,5,8.4,21-100 permits
Amazon Web Services EMEA SARL,8,14,11,5,17,55,5,11.0,21-100 permits
Amber Health Care Limited,0,1,0,0,0,1,1,1.0,1 permit
Amberfast Limited,2,1,1,0,0,4,3,1.3,2-5 permits
Amdocs Software Systems Limited,0,0,0,0,1,1,1,1.0,1 permit
Amgen Technology (Ireland) Unlimited Company,0,0,0,0,1,1,1,1.0,1 permit
Amigo Fresh Food Limited,0,0,0,1,0,1,1,1.0,1 permit
AMILIAM Ltd,1,0,0,0,0,1,1,1.0,1 permit
Amneal Ireland Limited,0,1,2,0,2,5,3,1.7,2-5 permits
AMS Cultural Heritage Consultancy Limited,1,1,0,0,0,2,2,1.0,2-5 permits
AmTrust Management Services Limited,0,1,0,0,0,1,1,1.0,1 permit
An Cumann Peile Boiteimeac,1,0,0,0,0,1,1,1.0,1 permit
An Mhuileann Teoranta,0,0,2,2,1,5,3,1.7,2-5 permits
An Post,0,0,0,0,1,1,1,1.0,1 permit
Ana Liffey Drug Project,0,0,1,0,0,1,1,1.0,1 permit
Analog Devices International Unlimited Company,6,7,9,4,9,35,5,7.0,21-100 permits
Analytic Partners Ltd,0,0,2,0,1,3,2,1.5,2-5 permits
Anastasia Barbers Limited,0,0,1,0,0,1,1,1.0,1 permit
Anderson Renovations Limited,0,0,1,0,0,1,1,1.0,1 permit
Andhra Bhavan Abbey Street Limited,0,0,0,0,1,1,1,1.0,1 permit
Andhra Bhavan Limited,2,0,0,1,0,3,2,1.5,2-5 permits
Andrew Choi,1,0,0,0,0,1,1,1.0,1 permit
"Andrew Clarke, Charles R Clarke and Pauline Clarke",1,0,0,0,0,1,1,1.0,1 permit
Andrews Construction Limited,0,0,0,1,0,1,1,1.0,1 permit
Anduril Industries Ireland Limited,0,0,0,1,0,1,1,1.0,1 permit
Angelshine Limited,0,0,0,1,2,3,2,1.5,2-5 permits
Anglo Beef Processors Ireland,0,3,0,0,14,17,2,8.5,6-20 permits
Anglo Beef Processors Ireland Unlimited Company,3,4,7,5,52,71,5,14.2,21-100 permits
Anglo Beef Processors Unlimited Ireland,0,1,0,0,6,7,2,3.5,6-20 permits
Anisor Mocanu,0,1,0,0,0,1,1,1.0,1 permit
Annebrook Hotel Partnership,2,0,0,0,0,2,1,2.0,2-5 permits
Anode Electrical Ltd,4,0,0,0,0,4,1,4.0,2-5 permits
Anostep Limited,1,0,0,0,0,1,1,1.0,1 permit
